County,County1,Number of cases,Deaths,Negative test results,Snapshot
Baker,Baker,0,0,7,2020-03-28
Benton,Benton,8,0,283,2020-03-28
Clackamas,Clackamas,36,2,870,2020-03-28
Clatsop,Clatsop,3,0,77,2020-03-28
Columbia,Columbia,1,0,108,2020-03-28
Coos,Coos,0,0,119,2020-03-28
Crook,Crook,0,0,7,2020-03-28
Curry,Curry,0,0,32,2020-03-28
Deschutes,Deschutes,20,0,165,2020-03-28
Douglas,Douglas,4,0,154,2020-03-28
Gilliam,Gilliam,0,0,4,2020-03-28
Grant,Grant,1,0,1,2020-03-28
Harney,Harney,0,0,21,2020-03-28
Hood River,Hood River,1,0,100,2020-03-28
Jackson,Jackson,8,0,1076,2020-03-28
Jefferson,Jefferson,0,0,11,2020-03-28
Josephine,Josephine,5,0,114,2020-03-28
Klamath,Klamath,2,0,84,2020-03-28
Lake,Lake,0,0,13,2020-03-28
Lane,Lane,9,1,454,2020-03-28
Lincoln,Lincoln,1,0,58,2020-03-28
Linn,Linn,32,1,573,2020-03-28
Malheur,Malheur,0,0,28,2020-03-28
Marion,Marion,94,3,862,2020-03-28
Morrow,Morrow,1,0,20,2020-03-28
Multnomah,Multnomah,81,2,2430,2020-03-28
Polk,Polk,11,0,202,2020-03-28
Sherman,Sherman,0,0,2,2020-03-28
Tillamook,Tillamook,1,0,40,2020-03-28
Umatilla,Umatilla,4,0,102,2020-03-28
Union,Union,1,0,19,2020-03-28
Wallowa,Wallowa,0,0,3,2020-03-28
Wasco,Wasco,2,0,66,2020-03-28
Washington,Washington,140,3,1286,2020-03-28
Wheeler,Wheeler,0,0,1,2020-03-28
Yamhill,Yamhill,13,1,301,2020-03-28
