"County","Positive†","Deaths*","Snapshot"
"Baker",0,0,2020-03-20
"Clatsop",0,0,2020-03-20
"Columbia",0,0,2020-03-20
"Coos",0,0,2020-03-20
"Crook",0,0,2020-03-20
"Curry",0,0,2020-03-20
"Gilliam",0,0,2020-03-20
"Harney",0,0,2020-03-20
"Hood River",0,0,2020-03-20
"Jefferson",0,0,2020-03-20
"Josephine",0,0,2020-03-20
"Lake",0,0,2020-03-20
"Lincoln",0,0,2020-03-20
"Malheur",0,0,2020-03-20
"Morrow",0,0,2020-03-20
"Sherman",0,0,2020-03-20
"Tillamook",0,0,2020-03-20
"Wallowa",0,0,2020-03-20
"Wasco",0,0,2020-03-20
"Wheeler",0,0,2020-03-20
"Washington",31,1,2020-03-20
"Linn",19,0,2020-03-20
"Marion",17,0,2020-03-20
"Multnomah",12,1,2020-03-20
"Clackamas",10,0,2020-03-20
"Deschutes",8,0,2020-03-20
"Yamhill",4,0,2020-03-20
"Benton",2,0,2020-03-20
"Jackson",2,0,2020-03-20
"Lane",2,1,2020-03-20
"Umatilla",2,0,2020-03-20
"Douglas",1,0,2020-03-20
"Grant",1,0,2020-03-20
"Klamath",1,0,2020-03-20
"Polk",1,0,2020-03-20
"Union",1,0,2020-03-20
"Baker",0,0,2020-03-21
"Clatsop",0,0,2020-03-21
"Columbia",0,0,2020-03-21
"Coos",0,0,2020-03-21
"Crook",0,0,2020-03-21
"Curry",0,0,2020-03-21
"Gilliam",0,0,2020-03-21
"Harney",0,0,2020-03-21
"Hood River",0,0,2020-03-21
"Jefferson",0,0,2020-03-21
"Josephine",1,0,2020-03-21
"Lake",0,0,2020-03-21
"Lincoln",0,0,2020-03-21
"Malheur",0,0,2020-03-21
"Morrow",0,0,2020-03-21
"Sherman",0,0,2020-03-21
"Tillamook",0,0,2020-03-21
"Wallowa",0,0,2020-03-21
"Wasco",0,0,2020-03-21
"Wheeler",0,0,2020-03-21
"Washington",42,1,2020-03-21
"Linn",19,0,2020-03-21
"Marion",19,1,2020-03-21
"Multnomah",18,1,2020-03-21
"Clackamas",11,0,2020-03-21
"Deschutes",9,0,2020-03-21
"Yamhill",4,0,2020-03-21
"Benton",2,0,2020-03-21
"Jackson",2,0,2020-03-21
"Lane",3,1,2020-03-21
"Umatilla",2,0,2020-03-21
"Douglas",1,0,2020-03-21
"Grant",1,0,2020-03-21
"Klamath",1,0,2020-03-21
"Polk",1,0,2020-03-21
"Union",1,0,2020-03-21
"Baker",0,0,2020-03-22
"Clatsop",0,0,2020-03-22
"Columbia",0,0,2020-03-22
"Coos",0,0,2020-03-22
"Crook",0,0,2020-03-22
"Curry",0,0,2020-03-22
"Gilliam",0,0,2020-03-22
"Harney",0,0,2020-03-22
"Hood River",0,0,2020-03-22
"Jefferson",0,0,2020-03-22
"Josephine",1,0,2020-03-22
"Lake",0,0,2020-03-22
"Lincoln",0,0,2020-03-22
"Malheur",0,0,2020-03-22
"Morrow",0,0,2020-03-22
"Sherman",0,0,2020-03-22
"Tillamook",0,0,2020-03-22
"Wallowa",0,0,2020-03-22
"Wasco",0,0,2020-03-22
"Wheeler",0,0,2020-03-22
"Washington",55,1,2020-03-22
"Linn",19,0,2020-03-22
"Marion",22,1,2020-03-22
"Multnomah",19,1,2020-03-22
"Clackamas",12,0,2020-03-22
"Deschutes",10,0,2020-03-22
"Yamhill",6,0,2020-03-22
"Benton",4,0,2020-03-22
"Jackson",2,0,2020-03-22
"Lane",4,1,2020-03-22
"Umatilla",2,0,2020-03-22
"Douglas",1,0,2020-03-22
"Grant",1,0,2020-03-22
"Klamath",1,0,2020-03-22
"Polk",1,0,2020-03-22
"Union",1,0,2020-03-22
"Baker",0,0,2020-03-23
"Benton",4,0,2020-03-23
"Clackamas",14,0,2020-03-23
"Clatsop",0,0,2020-03-23
"Columbia",0,0,2020-03-23
"Coos",0,0,2020-03-23
"Crook",0,0,2020-03-23
"Curry",0,0,2020-03-23
"Deschutes",10,0,2020-03-23
"Douglas",1,0,2020-03-23
"Gilliam",0,0,2020-03-23
"Grant",1,0,2020-03-23
"Harney",0,0,2020-03-23
"Hood River",1,0,2020-03-23
"Jackson",2,0,2020-03-23
